user_id,最高月収,最低月収,平均月収,最高支出,最低支出,月収に対する自由資産率,貯金絶対額,利用意向,収入変動額,収入変動率,支出変動率
1,43,31,37,30,20,0.03,200.0,0,12,0.32432432432432434,0.4
2,46,28,37,380,20,0.1,200.0,1,18,0.4864864864864865,1.8
3,90,8,50,50,18,0.1,500.0,0,82,1.64,0.9411764705882353
4,200,20,60,150,10,0.1,1000.0,1,180,3.0,1.75
5,200,15,40,100,10,0.3,200.0,1,185,4.625,1.6363636363636365
6,60,40,50,75,10,0.4,700.0,1,20,0.4,1.5294117647058822
7,10,3,6,8,6,0.2,100.0,0,7,1.1666666666666667,0.2857142857142857
8,42,12,23,25,13,0.3,15.0,1,30,1.3043478260869565,0.631578947368421
9,35,26,30,150,18,0.2,100.0,0,9,0.3,1.5714285714285714
10,35,28,30,30,20,0.2,30.0,0,7,0.23333333333333334,0.4
11,90,37,40,45,19,0.1,500.0,1,53,1.325,0.8125
12,26,19,20,37,24,0.1,100.0,0,7,0.35,0.4262295081967213
13,120,20,40,40,5,0.4,2000.0,0,100,2.5,1.5555555555555556
14,52,20,30,30,10,0.3,50.0,0,32,1.0666666666666667,1.0
15,30,5,10,20,3,0.3,1.0,1,25,2.5,1.4782608695652173
16,32,26,30,25,18,0.2,1000.0,0,6,0.2,0.32558139534883723
17,110,0,10,30,20,0.2,600.0,0,110,11.0,0.4
